"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"ARM",2015,1,"rolling",0.854,0.146,0.0857142857142857
"AUT",2015,1,"rolling",0.438,0.562,0.421428571428571
"BEL",2015,1,"rolling",0.83,0.17,1.51666666666667
"CHE",2015,1,"rolling",0.887,0.113,0.533333333333333
"CZE",2015,1,"rolling",0.83,0.17,0.9
"DNK",2015,1,"rolling",0.733,0.267,0.120526315789474
"EST",2015,1,"rolling",0.547,0.453,0.673962703962704
"ESP",2015,1,"rolling",0.793,0.207,0.916666666666667
"GEO",2015,1,"rolling",0.792,0.208,0.138690476190476
"GRC",2015,1,"rolling",0.618,0.382,2.22435897435897
"HRV",2015,1,"rolling",0.704,0.296,1.88333333333333
"HUN",2015,1,"rolling",0.833,0.167,0.683333333333333
"IRL",2015,1,"rolling",0.868,0.132,0.321428571428571
"ISR",2015,1,"rolling",0.849,0.151,0.277564102564103
"ITA",2015,1,"rolling",0.75,0.25,0.3
"KGZ",2015,1,"rolling",0.688,0.312,0.487669172932331
"LTU",2015,1,"rolling",0.925,0.075,0.142127659574468
"LUX",2015,1,"rolling",0.69,0.31,1.06666666666667
"LVA",2015,1,"rolling",0.724,0.276,1.475
"MAR",2015,1,"rolling",0.942,0.0580000000000001,0.03
"MDA",2015,1,"rolling",0.962,0.038,0.0353333333333333
"MLT",2015,1,"rolling",0.957,0.043,0.8
"NLD",2015,1,"rolling",0.585,0.415,0.953787878787879
"NOR",2015,1,"rolling",0.483,0.517,2.05641025641026
"POL",2015,1,"rolling",0.66,0.34,0.329935897435897
"PRT",2015,1,"rolling",0.83,0.17,1.45
"ROU",2015,1,"rolling",0.938,0.0620000000000001,0.2
"SRB",2015,1,"rolling",0.696,0.304,0.152857142857143
"SVN",2015,1,"rolling",0.868,0.132,0.4425
"SVK",2015,1,"rolling",0.731,0.269,1.794
"TUR",2015,1,"rolling",0.625,0.375,0.333630952380952
"USA",2015,1,"rolling",0.849,0.151,0.224542483660131
"ARM",2016,1,"rolling",0.712,0.288,2.6
"AUT",2016,1,"rolling",0.588,0.412,0.75
"BEL",2016,1,"rolling",0.904,0.096,0.416666666666667
"CHE",2016,1,"rolling",0.865,0.135,0.208333333333333
"CZE",2016,1,"rolling",0.865,0.135,0.14047619047619
"DNK",2016,1,"rolling",0.786,0.214,0.297549019607843
"EST",2016,1,"rolling",0.654,0.346,0.693567251461988
"ESP",2016,1,"rolling",0.536,0.464,0.54
"GEO",2016,1,"rolling",0.761,0.239,0.0454166666666667
"GRC",2016,1,"rolling",0.8,0.2,0.266666666666667
"HRV",2016,1,"rolling",0.857,0.143,0.0666666666666667
"HUN",2016,1,"rolling",0.75,0.25,0.405
"IRL",2016,1,"rolling",0.865,0.135,0.17
"ISR",2016,1,"rolling",0.865,0.135,0.583333333333333
"ITA",2016,1,"rolling",0.545,0.455,0.481666666666667
"KGZ",2016,1,"rolling",0.48,0.52,2.18787878787879
"LTU",2016,1,"rolling",0.904,0.096,0.25
"LUX",2016,1,"rolling",0.643,0.357,0.72921568627451
"LVA",2016,1,"rolling",0.821,0.179,0.325
"MAR",2016,1,"rolling",0.915,0.085,0.11991452991453
"MDA",2016,1,"rolling",1,0,0
"MLT",2016,1,"rolling",0.815,0.185,0.279545454545455
"NLD",2016,1,"rolling",0.577,0.423,0.710795454545454
"NOR",2016,1,"rolling",0.357,0.643,0.606190476190476
"POL",2016,1,"rolling",0.717,0.283,0.330454545454545
"PRT",2016,1,"rolling",0.75,0.25,0.908333333333333
"ROU",2016,1,"rolling",0.865,0.135,0.102173913043478
"SRB",2016,1,"rolling",0.625,0.375,0.34
"SVN",2016,1,"rolling",0.865,0.135,0.406521739130435
"SVK",2016,1,"rolling",0.878,0.122,0.130075187969925
"TUR",2016,1,"rolling",0.867,0.133,0.15
"USA",2016,1,"rolling",0.712,0.288,0.482884615384615
"ARM",2017,1,"rolling",0.769,0.231,0.647008547008547
"AUT",2017,1,"rolling",0.545,0.455,1.22916666666667
"BEL",2017,1,"rolling",0.8,0.2,0.457142857142857
"CHE",2017,1,"rolling",0.865,0.135,0.454761904761905
"CZE",2017,1,"rolling",0.865,0.135,1.05238095238095
"DNK",2017,1,"rolling",0.857,0.143,0.0719298245614035
"EST",2017,1,"rolling",0.615,0.385,0.659103641456583
"ESP",2017,1,"rolling",0.786,0.214,0.280555555555556
"GEO",2017,1,"rolling",0.891,0.109,0.108888888888889
"GRC",2017,1,"rolling",0.769,0.231,0.471666666666667
"HRV",2017,1,"rolling",0.769,0.231,1.17777777777778
"HUN",2017,1,"rolling",0.679,0.321,1.95526315789474
"IRL",2017,1,"rolling",0.923,0.077,0.362222222222222
"ISR",2017,1,"rolling",0.942,0.0580000000000001,0.0423809523809524
"ITA",2017,1,"rolling",0.739,0.261,0.61
"KGZ",2017,1,"rolling",0.583,0.417,0.131428571428571
"LTU",2017,1,"rolling",0.914,0.086,0.45
"LUX",2017,1,"rolling",0.857,0.143,0.176190476190476
"LVA",2017,1,"rolling",0.821,0.179,0.533333333333333
"MAR",2017,1,"rolling",0.808,0.192,0.21421568627451
"MDA",2017,1,"rolling",1,0,0
"MLT",2017,1,"rolling",0.75,0.25,0.471428571428571
"NLD",2017,1,"rolling",0.558,0.442,0.98525641025641
"NOR",2017,1,"rolling",0.643,0.357,1.06190476190476
"POL",2017,1,"rolling",0.596,0.404,0.830930735930736
"PRT",2017,1,"rolling",0.904,0.096,0.17536231884058
"ROU",2017,1,"rolling",1,0,0
"SRB",2017,1,"rolling",0.636,0.364,0.677142857142857
"SVN",2017,1,"rolling",0.865,0.135,1.47121212121212
"SVK",2017,1,"rolling",0.788,0.212,0.575925925925926
"TUR",2017,1,"rolling",0.569,0.431,1.57676767676768
"USA",2017,1,"rolling",0.673,0.327,0.728869047619048
"ARM",2015,2,"rolling",0.902,0.098,0.0571428571428571
"AUT",2015,2,"rolling",0.25,0.75,1.07142857142857
"BEL",2015,2,"rolling",0.83,0.17,1.6
"CHE",2015,2,"rolling",0.868,0.132,0.933333333333333
"CZE",2015,2,"rolling",0.792,0.208,1.675
"DNK",2015,2,"rolling",0.7,0.3,0.13719298245614
"EST",2015,2,"rolling",0.547,0.453,0.874219114219114
"ESP",2015,2,"rolling",0.655,0.345,1.61666666666667
"GEO",2015,2,"rolling",0.755,0.245,0.24702380952381
"GRC",2015,2,"rolling",0.588,0.412,2.18205128205128
"HRV",2015,2,"rolling",0.667,0.333,2.41666666666667
"HUN",2015,2,"rolling",0.792,0.208,0.85
"IRL",2015,2,"rolling",0.868,0.132,0.309468438538206
"ISR",2015,2,"rolling",0.83,0.17,0.327564102564103
"ITA",2015,2,"rolling",0.583,0.417,0.433333333333333
"KGZ",2015,2,"rolling",0.625,0.375,0.556240601503759
"LTU",2015,2,"rolling",0.925,0.075,0.142127659574468
"LUX",2015,2,"rolling",0.69,0.31,1.21666666666667
"LVA",2015,2,"rolling",0.69,0.31,2.4
"MAR",2015,2,"rolling",0.788,0.212,0.127857142857143
"MDA",2015,2,"rolling",0.943,0.0570000000000001,0.1
"MLT",2015,2,"rolling",0.957,0.043,0.8
"NLD",2015,2,"rolling",0.547,0.453,0.917878787878788
"NOR",2015,2,"rolling",0.517,0.483,2.53910256410256
"POL",2015,2,"rolling",0.574,0.426,0.386858974358974
"PRT",2015,2,"rolling",0.83,0.17,1.85
"ROU",2015,2,"rolling",0.938,0.0620000000000001,0.3
"SRB",2015,2,"rolling",0.696,0.304,0.257619047619048
"SVN",2015,2,"rolling",0.849,0.151,0.66
"SVK",2015,2,"rolling",0.75,0.25,1.724
"TUR",2015,2,"rolling",0.675,0.325,0.29047619047619
"USA",2015,2,"rolling",0.755,0.245,0.305098039215686
"ARM",2016,2,"rolling",0.692,0.308,2.6027027027027
"AUT",2016,2,"rolling",0.235,0.765,0.78
"BEL",2016,2,"rolling",0.885,0.115,0.383333333333333
"CHE",2016,2,"rolling",0.769,0.231,0.516666666666667
"CZE",2016,2,"rolling",0.769,0.231,0.560714285714286
"DNK",2016,2,"rolling",0.643,0.357,0.605882352941176
"EST",2016,2,"rolling",0.596,0.404,1.67105263157895
"ESP",2016,2,"rolling",0.5,0.5,0.763333333333333
"GEO",2016,2,"rolling",0.739,0.261,0.0516666666666667
"GRC",2016,2,"rolling",0.733,0.267,0.3
"HRV",2016,2,"rolling",0.857,0.143,0.0666666666666667
"HUN",2016,2,"rolling",0.714,0.286,0.405
"IRL",2016,2,"rolling",0.808,0.192,0.3
"ISR",2016,2,"rolling",0.846,0.154,0.766666666666667
"ITA",2016,2,"rolling",0.364,0.636,0.605
"KGZ",2016,2,"rolling",0.44,0.56,1.78787878787879
"LTU",2016,2,"rolling",0.923,0.077,0.616666666666667
"LUX",2016,2,"rolling",0.679,0.321,0.706666666666667
"LVA",2016,2,"rolling",0.786,0.214,0.566666666666667
"MAR",2016,2,"rolling",0.766,0.234,0.162051282051282
"MDA",2016,2,"rolling",1,0,0
"MLT",2016,2,"rolling",0.778,0.222,0.309090909090909
"NLD",2016,2,"rolling",0.481,0.519,1.06287878787879
"NOR",2016,2,"rolling",0.5,0.5,0.794285714285714
"POL",2016,2,"rolling",0.652,0.348,0.473535353535354
"PRT",2016,2,"rolling",0.769,0.231,0.9
"ROU",2016,2,"rolling",0.865,0.135,0.104347826086957
"SRB",2016,2,"rolling",0.562,0.438,1.00428571428571
"SVN",2016,2,"rolling",0.846,0.154,0.358695652173913
"SVK",2016,2,"rolling",0.805,0.195,0.239097744360902
"TUR",2016,2,"rolling",0.533,0.467,0.171428571428571
"USA",2016,2,"rolling",0.673,0.327,0.745096153846154
"ARM",2017,2,"rolling",0.731,0.269,0.660683760683761
"AUT",2017,2,"rolling",0.409,0.591,1.69166666666667
"BEL",2017,2,"rolling",0.8,0.2,0.514285714285714
"CHE",2017,2,"rolling",0.827,0.173,0.904761904761905
"CZE",2017,2,"rolling",0.827,0.173,1.20714285714286
"DNK",2017,2,"rolling",0.821,0.179,0.13859649122807
"EST",2017,2,"rolling",0.519,0.481,0.890560224089636
"ESP",2017,2,"rolling",0.679,0.321,0.580555555555555
"GEO",2017,2,"rolling",0.739,0.261,0.0266666666666667
"GRC",2017,2,"rolling",0.712,0.288,0.881666666666667
"HRV",2017,2,"rolling",0.769,0.231,1.25
"HUN",2017,2,"rolling",0.643,0.357,2.80526315789474
"IRL",2017,2,"rolling",0.846,0.154,0.331111111111111
"ISR",2017,2,"rolling",0.846,0.154,0.66952380952381
"ITA",2017,2,"rolling",0.565,0.435,0.94
"KGZ",2017,2,"rolling",0.5,0.5,0.131428571428571
"LTU",2017,2,"rolling",0.886,0.114,0.9
"LUX",2017,2,"rolling",0.893,0.107,0.471428571428571
"LVA",2017,2,"rolling",0.75,0.25,0.733333333333333
"MAR",2017,2,"rolling",0.75,0.25,0.230098039215686
"MDA",2017,2,"rolling",1,0,0
"MLT",2017,2,"rolling",0.714,0.286,0.585714285714286
"NLD",2017,2,"rolling",0.596,0.404,0.894871794871795
"NOR",2017,2,"rolling",0.536,0.464,1.2952380952381
"POL",2017,2,"rolling",0.519,0.481,1.68469696969697
"PRT",2017,2,"rolling",0.923,0.077,0.127536231884058
"ROU",2017,2,"rolling",1,0,0
"SRB",2017,2,"rolling",0.318,0.682,1.72428571428571
"SVN",2017,2,"rolling",0.865,0.135,1.63787878787879
"SVK",2017,2,"rolling",0.712,0.288,1.09074074074074
"TUR",2017,2,"rolling",0.529,0.471,1.56005050505051
"USA",2017,2,"rolling",0.577,0.423,1.24285714285714
"ARM",2015,3,"rolling",0.878,0.122,0.0600840336134454
"AUT",2015,3,"rolling",0.312,0.688,0.821428571428571
"BEL",2015,3,"rolling",0.811,0.189,1.96666666666667
"CHE",2015,3,"rolling",0.868,0.132,0.985772357723577
"CZE",2015,3,"rolling",0.811,0.189,1.425
"DNK",2015,3,"rolling",0.667,0.333,0.19719298245614
"EST",2015,3,"rolling",0.604,0.396,0.978461538461538
"ESP",2015,3,"rolling",0.621,0.379,1.82222222222222
"GEO",2015,3,"rolling",0.736,0.264,0.249404761904762
"GRC",2015,3,"rolling",0.471,0.529,2.82435897435897
"HRV",2015,3,"rolling",0.667,0.333,2.95
"HUN",2015,3,"rolling",0.792,0.208,0.9
"IRL",2015,3,"rolling",0.849,0.151,0.359468438538206
"ISR",2015,3,"rolling",0.811,0.189,0.525
"ITA",2015,3,"rolling",0.625,0.375,0.36
"KGZ",2015,3,"rolling",0.562,0.438,0.590526315789474
"LTU",2015,3,"rolling",0.887,0.113,0.264255319148936
"LUX",2015,3,"rolling",0.621,0.379,1.65
"LVA",2015,3,"rolling",0.759,0.241,2.275
"MAR",2015,3,"rolling",0.731,0.269,0.157857142857143
"MDA",2015,3,"rolling",0.943,0.0570000000000001,0.1
"MLT",2015,3,"rolling",0.957,0.043,0.8
"NLD",2015,3,"rolling",0.585,0.415,1.07287878787879
"NOR",2015,3,"rolling",0.448,0.552,3.20128205128205
"POL",2015,3,"rolling",0.511,0.489,0.488910256410256
"PRT",2015,3,"rolling",0.849,0.151,1.9
"ROU",2015,3,"rolling",0.875,0.125,0.402439024390244
"SRB",2015,3,"rolling",0.652,0.348,0.300952380952381
"SVN",2015,3,"rolling",0.83,0.17,0.62
"SVK",2015,3,"rolling",0.769,0.231,1.824
"TUR",2015,3,"rolling",0.575,0.425,0.430952380952381
"USA",2015,3,"rolling",0.679,0.321,0.496862745098039
"ARM",2016,3,"rolling",0.673,0.327,2.60540540540541
"AUT",2016,3,"rolling",0.176,0.824,0.98
"BEL",2016,3,"rolling",0.885,0.115,0.85
"CHE",2016,3,"rolling",0.808,0.192,0.566666666666667
"CZE",2016,3,"rolling",0.788,0.212,0.596428571428571
"DNK",2016,3,"rolling",0.607,0.393,0.570098039215686
"EST",2016,3,"rolling",0.596,0.404,1.70131578947368
"ESP",2016,3,"rolling",0.5,0.5,0.963333333333333
"GEO",2016,3,"rolling",0.739,0.261,0.0545833333333333
"GRC",2016,3,"rolling",0.6,0.4,0.344444444444444
"HRV",2016,3,"rolling",0.714,0.286,0.215789473684211
"HUN",2016,3,"rolling",0.75,0.25,0.605
"IRL",2016,3,"rolling",0.788,0.212,0.332631578947368
"ISR",2016,3,"rolling",0.865,0.135,1
"ITA",2016,3,"rolling",0.5,0.5,0.556666666666667
"KGZ",2016,3,"rolling",0.36,0.64,1.85030303030303
"LTU",2016,3,"rolling",0.904,0.096,0.666666666666667
"LUX",2016,3,"rolling",0.679,0.321,0.61843137254902
"LVA",2016,3,"rolling",0.786,0.214,0.533333333333333
"MAR",2016,3,"rolling",0.702,0.298,0.177606837606838
"MDA",2016,3,"rolling",1,0,0
"MLT",2016,3,"rolling",0.852,0.148,0.275
"NLD",2016,3,"rolling",0.481,0.519,0.999621212121212
"NOR",2016,3,"rolling",0.393,0.607,0.730476190476191
"POL",2016,3,"rolling",0.652,0.348,0.60020202020202
"PRT",2016,3,"rolling",0.731,0.269,1.43333333333333
"ROU",2016,3,"rolling",0.865,0.135,0.104347826086957
"SRB",2016,3,"rolling",0.625,0.375,0.904285714285714
"SVN",2016,3,"rolling",0.865,0.135,0.410869565217391
"SVK",2016,3,"rolling",0.805,0.195,0.16390977443609
"TUR",2016,3,"rolling",0.333,0.667,0.385714285714286
"USA",2016,3,"rolling",0.635,0.365,0.735480769230769
"ARM",2017,3,"rolling",0.769,0.231,0.555555555555556
"AUT",2017,3,"rolling",0.5,0.5,1.44166666666667
"BEL",2017,3,"rolling",0.8,0.2,1.21785714285714
"CHE",2017,3,"rolling",0.808,0.192,0.707142857142857
"CZE",2017,3,"rolling",0.788,0.212,1.45714285714286
"DNK",2017,3,"rolling",0.786,0.214,0.17719298245614
"EST",2017,3,"rolling",0.615,0.385,0.900392156862745
"ESP",2017,3,"rolling",0.679,0.321,0.555555555555556
"GEO",2017,3,"rolling",0.783,0.217,0.0222222222222222
"GRC",2017,3,"rolling",0.673,0.327,1.44833333333333
"HRV",2017,3,"rolling",0.615,0.385,3.28333333333333
"HUN",2017,3,"rolling",0.679,0.321,3.40526315789474
"IRL",2017,3,"rolling",0.827,0.173,0.335555555555556
"ISR",2017,3,"rolling",0.788,0.212,0.974285714285714
"ITA",2017,3,"rolling",0.435,0.565,1.53666666666667
"KGZ",2017,3,"rolling",0.333,0.667,0.171428571428571
"LTU",2017,3,"rolling",0.886,0.114,0.9
"LUX",2017,3,"rolling",0.821,0.179,0.40952380952381
"LVA",2017,3,"rolling",0.607,0.393,1.42254901960784
"MAR",2017,3,"rolling",0.692,0.308,0.347091503267974
"MDA",2017,3,"rolling",1,0,0
"MLT",2017,3,"rolling",0.75,0.25,0.571428571428571
"NLD",2017,3,"rolling",0.615,0.385,0.630128205128205
"NOR",2017,3,"rolling",0.536,0.464,1.48095238095238
"POL",2017,3,"rolling",0.5,0.5,2.30874458874459
"PRT",2017,3,"rolling",0.865,0.135,0.198550724637681
"ROU",2017,3,"rolling",1,0,0
"SRB",2017,3,"rolling",0.455,0.545,1.61
"SVN",2017,3,"rolling",0.846,0.154,2.17348484848485
"SVK",2017,3,"rolling",0.712,0.288,1.56296296296296
"TUR",2017,3,"rolling",0.549,0.451,1.75873737373737
"USA",2017,3,"rolling",0.577,0.423,1.31577380952381
"ARM",2015,4,"rolling",0.854,0.146,0.0857142857142857
"AUT",2015,4,"rolling",0.312,0.688,0.985714285714286
"BEL",2015,4,"rolling",0.868,0.132,2.45
"CHE",2015,4,"rolling",0.83,0.17,1.63577235772358
"CZE",2015,4,"rolling",0.83,0.17,2.325
"DNK",2015,4,"rolling",0.667,0.333,0.231929824561404
"EST",2015,4,"rolling",0.623,0.377,1.21410256410256
"ESP",2015,4,"rolling",0.69,0.31,2.20555555555556
"GEO",2015,4,"rolling",0.755,0.245,0.146428571428571
"GRC",2015,4,"rolling",0.529,0.471,2.56538461538462
"HRV",2015,4,"rolling",0.63,0.37,3.05
"HUN",2015,4,"rolling",0.75,0.25,1.01666666666667
"IRL",2015,4,"rolling",0.868,0.132,0.321428571428571
"ISR",2015,4,"rolling",0.792,0.208,0.55
"ITA",2015,4,"rolling",0.708,0.292,0.433333333333333
"KGZ",2015,4,"rolling",0.625,0.375,0.561954887218045
"LTU",2015,4,"rolling",0.887,0.113,0.3
"LUX",2015,4,"rolling",0.655,0.345,1.33333333333333
"LVA",2015,4,"rolling",0.759,0.241,2.525
"MAR",2015,4,"rolling",0.846,0.154,0.0885714285714286
"MDA",2015,4,"rolling",0.943,0.0570000000000001,0.1
"MLT",2015,4,"rolling",0.957,0.043,0.8
"NLD",2015,4,"rolling",0.604,0.396,1.44363636363636
"NOR",2015,4,"rolling",0.379,0.621,3.70897435897436
"POL",2015,4,"rolling",0.532,0.468,0.499487179487179
"PRT",2015,4,"rolling",0.83,0.17,2.65
"ROU",2015,4,"rolling",0.896,0.104,0.3
"SRB",2015,4,"rolling",0.565,0.435,0.415238095238095
"SVN",2015,4,"rolling",0.792,0.208,1.14
"SVK",2015,4,"rolling",0.673,0.327,1.878
"TUR",2015,4,"rolling",0.525,0.475,0.49672619047619
"USA",2015,4,"rolling",0.698,0.302,0.521862745098039
"ARM",2016,4,"rolling",0.692,0.308,2.6027027027027
"AUT",2016,4,"rolling",0.118,0.882,1.24666666666667
"BEL",2016,4,"rolling",0.846,0.154,0.95
"CHE",2016,4,"rolling",0.788,0.212,0.433333333333333
"CZE",2016,4,"rolling",0.769,0.231,0.544047619047619
"DNK",2016,4,"rolling",0.607,0.393,0.695098039215686
"EST",2016,4,"rolling",0.635,0.365,1.75131578947368
"ESP",2016,4,"rolling",0.5,0.5,0.973333333333333
"GEO",2016,4,"rolling",0.761,0.239,0.04875
"GRC",2016,4,"rolling",0.6,0.4,0.344444444444444
"HRV",2016,4,"rolling",0.679,0.321,0.421929824561403
"HUN",2016,4,"rolling",0.714,0.286,0.733333333333333
"IRL",2016,4,"rolling",0.731,0.269,0.52
"ISR",2016,4,"rolling",0.808,0.192,1.23589743589744
"ITA",2016,4,"rolling",0.364,0.636,0.908333333333333
"KGZ",2016,4,"rolling",0.24,0.76,2.4
"LTU",2016,4,"rolling",0.846,0.154,1.00222222222222
"LUX",2016,4,"rolling",0.643,0.357,0.745882352941176
"LVA",2016,4,"rolling",0.75,0.25,0.513333333333333
"MAR",2016,4,"rolling",0.723,0.277,0.170940170940171
"MDA",2016,4,"rolling",1,0,0
"MLT",2016,4,"rolling",0.852,0.148,0.275
"NLD",2016,4,"rolling",0.462,0.538,1.33503787878788
"NOR",2016,4,"rolling",0.393,0.607,0.790476190476191
"POL",2016,4,"rolling",0.674,0.326,0.495
"PRT",2016,4,"rolling",0.712,0.288,1.51666666666667
"ROU",2016,4,"rolling",0.865,0.135,0.102173913043478
"SRB",2016,4,"rolling",0.562,0.438,0.918571428571428
"SVN",2016,4,"rolling",0.885,0.115,0.408695652173913
"SVK",2016,4,"rolling",0.805,0.195,0.16390977443609
"TUR",2016,4,"rolling",0.4,0.6,0.457142857142857
"USA",2016,4,"rolling",0.596,0.404,0.812884615384615
"ARM",2017,4,"rolling",0.75,0.25,0.566666666666667
"AUT",2017,4,"rolling",0.409,0.591,1.59166666666667
"BEL",2017,4,"rolling",0.8,0.2,1.32142857142857
"CHE",2017,4,"rolling",0.788,0.212,1.60952380952381
"CZE",2017,4,"rolling",0.75,0.25,2.21666666666667
"DNK",2017,4,"rolling",0.786,0.214,0.17719298245614
"EST",2017,4,"rolling",0.558,0.442,0.987535014005602
"ESP",2017,4,"rolling",0.571,0.429,0.95
"GEO",2017,4,"rolling",0.717,0.283,0.0288888888888889
"GRC",2017,4,"rolling",0.692,0.308,1.555
"HRV",2017,4,"rolling",0.615,0.385,3.12222222222222
"HUN",2017,4,"rolling",0.679,0.321,3.2
"IRL",2017,4,"rolling",0.827,0.173,0.591111111111111
"ISR",2017,4,"rolling",0.808,0.192,0.891904761904762
